physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG3-8,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.04723022629347,41.90451077806394,-8.142719448229535
BCG4-1,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,31.18601942553443,20.017373384537528,-11.1686460409969
BCG4-1,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,49.50490394089844,35.0777125605996,-14.427191380298837
BCG4-1,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,42.493622346259805,26.151269860082323,-16.342352486177482
BCG4-1,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,59.31043941017909,41.29152995233838,-18.018909457840714
BCG4-2,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,31.03158027111779,23.22328140111516,-7.808298870002631
BCG4-2,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,47.45616370083978,35.452890995679894,-12.003272705159887
BCG4-2,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.13066236715863,27.141781314956887,-11.98888105220174
BCG4-2,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,57.449008752167735,40.81063525321812,-16.638373498949612
BCG4-3,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,30.4988304000667,24.88085750189946,-5.617972898167242
BCG4-3,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,46.65343206494879,34.73299420945194,-11.92043785549685
BCG4-3,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,42.15707758171459,26.9276793695864,-15.229398212128189
BCG4-3,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,55.97677446404669,39.07396001540774,-16.90281444863895
BCG4-4,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,28.35467235800628,23.645661027688213,-4.7090113303180665
BCG4-4,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,48.0321926920686,35.686340741439594,-12.345851950629005
BCG4-4,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,42.48938749981864,26.12077251431569,-16.36861498550295
BCG4-4,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,57.35970037198119,41.03052832397228,-16.329172048008914
BCG4-5,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,30.509580257414864,24.121074865998025,-6.388505391416839
BCG4-5,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.698736638972,36.38208378546906,-9.316652853502944
BCG4-5,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.83527387332792,27.14147711711714,-12.69379675621078
BCG4-5,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,57.26986815398946,41.5015304056523,-15.76833774833716
BCG4-6,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,27.3289700549626,21.45749786637069,-5.871472188591909
BCG4-6,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,46.793097297718525,35.31838951823795,-11.474707779480575
BCG4-6,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,43.61836845580995,27.24167494271589,-16.37669351309406
BCG4-6,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,54.27220373575207,39.31551067525521,-14.95669306049686
