feature,feature_label,role,term,estimate,standard_error,z_value,p_value,ci95_low,ci95_high,n_rows,n_physical_samples,fit_method,converged,p_value_holm
lab_L_mean,Mean L* (lightness),SECONDARY,C(scanner)[T.TRIOS3],-8.209704406319764,0.516191910889702,-15.904364700658752,5.909977733496724e-57,-9.221421960774489,-7.197986851865039,319,32,lbfgs,True,2.659489980073526e-55
lab_L_mean,Mean L* (lightness),SECONDARY,C(scanner)[T.TRIOS5],-6.898680398699954,0.5161919108897022,-13.36456510294683,9.740261816648717e-41,-7.910397953154678,-5.886962844245229,319,32,lbfgs,True,4.188312581158948e-39
lab_L_mean,Mean L* (lightness),SECONDARY,C(scanner)[T.iTERO],-9.287078402955455,0.5161919108897021,-17.99152254623355,2.270334267009496e-72,-10.29879595741018,-8.27536084850073,319,32,lbfgs,True,1.0443537628243682e-70
lab_L_mean,Mean L* (lightness),SECONDARY,C(growth_class)[T.Mature],0.10428124553762064,0.2580960946562635,0.4040403853320759,0.686183021786948,-0.40157780453909653,0.6101402956143378,319,32,lbfgs,True,1.0
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS3],5.829230583536945,0.894070616117029,6.519877153387994,7.036499660226739e-11,4.076884376312032,7.581576790761858,319,32,lbfgs,True,1.970219904863487e-09
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS3],5.518474428177215,0.7300056011675019,7.559496008457317,4.046341084004032e-14,4.0876897413764,6.949259114978029,319,32,lbfgs,True,1.2543657360412498e-12
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS5],5.968366684193906,0.9039684444562011,6.602406002993043,4.045377765522923e-11,4.196621089899056,7.7401122784887555,319,32,lbfgs,True,1.1731595520016476e-09
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS5],6.450539728637294,0.7300056011675019,8.836287993298834,9.895149594297087e-19,5.019755041836479,7.881324415438108,319,32,lbfgs,True,3.6612053498899225e-17
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Partial]:C(scanner)[T.iTERO],7.065906972892283,0.8940706161170291,7.903074819279592,2.721061423375306e-15,5.31356076566737,8.818253180117196,319,32,lbfgs,True,8.97950269713851e-14
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Clean]:C(scanner)[T.iTERO],6.887703106886629,0.7300056011675017,9.435137341235588,3.904823543137354e-21,5.456918420085815,8.318487793687442,319,32,lbfgs,True,1.4838329463921945e-19
